date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
23458,-14.196,-75.661,59,4.8,automatic,IGP,IGP,0
23460,-5.4,-79.4,33,4.5,automatic,IGP,IGP,0
23462,-5.137,-76.55,120,5.2,automatic,IGP,IGP,1
23468,-2.835,-80.263,35,4.9,automatic,IGP,IGP,1
23470,-8.714,-78.879,83,5.2,automatic,IGP,IGP,1
23475,-16.27,-73.4,100,4.5,automatic,IGP,IGP,0
23476,-18.38,-71.08,21,5.4,automatic,IGP,IGP,1
23477,-14.37,-75.7,68,4.6,automatic,IGP,IGP,0
23486,-13.787,-75.138,86,4.9,automatic,IGP,IGP,0
23492,-15.69,-70.46,219,4.5,automatic,IGP,IGP,1
23492,-15.59,-69.5,268,4.5,automatic,IGP,IGP,0
23495,-17.3,-70.1,127,4.7,automatic,IGP,IGP,0
23496,-3.408,-78.089,26,4.9,automatic,IGP,IGP,0
23496,-16.52,-72.2,88,4.9,automatic,IGP,IGP,0
23501,-14.3,-75.8,14,4.9,automatic,IGP,IGP,1
23502,-18.66,-72.76,28,5.2,automatic,IGP,IGP,0
23506,-5.79,-82.55,19,4.9,automatic,IGP,IGP,1
23511,-15.56,-70.86,185,4.5,automatic,IGP,IGP,0
23515,-12.15,-73.53,81,4.8,automatic,IGP,IGP,0
23520,-16.3,-69.2,235,4.6,automatic,IGP,IGP,1
23525,-13.404,-74.848,103,5.4,automatic,IGP,IGP,0
23528,-9.466,-79.739,40,4.8,automatic,IGP,IGP,1
23531,-5.19,-78.6,33,4.7,automatic,IGP,IGP,0
23532,-9.758,-76.306,121,5.7,automatic,IGP,IGP,1
23534,-14.93,-72.1,108,4.6,automatic,IGP,IGP,0
23534,-8.51,-79.305,49,4.8,automatic,IGP,IGP,1
23537,-4.77,-77.9,40,4.9,automatic,IGP,IGP,1
23544,-18,-71.7,80,4.6,automatic,IGP,IGP,0
23549,-15.29,-73.413,95,5.3,automatic,IGP,IGP,1
23551,-3.73,-78.1,53,5,automatic,IGP,IGP,0
23559,-14.31,-73.256,84,5.6,automatic,IGP,IGP,0
23560,-11.5,-74.36,7,5,automatic,IGP,IGP,1
23562,-16.45,-72.53,81,5.7,automatic,IGP,IGP,1
23563,-10.24,-75.11,135,5.3,automatic,IGP,IGP,0
23568,-15.98,-71.6,136,5.3,automatic,IGP,IGP,0
23576,-18.505,-71.392,44,5.1,automatic,IGP,IGP,0
23591,-17.25,-69.63,5,4.7,automatic,IGP,IGP,1
23593,-5.14,-78.7,33,4.6,automatic,IGP,IGP,1
23599,-16.764,-71.111,99,5.2,automatic,IGP,IGP,0
23602,-6,-81.3,49,4.7,automatic,IGP,IGP,0
23607,-7.32,-74.51,156,5.5,automatic,IGP,IGP,0
23608,-6.92,-75.26,15,4.9,automatic,IGP,IGP,0
23630,-4.797,-81.454,25,4.9,automatic,IGP,IGP,0
23637,-15.78,-72.945,106,5.3,automatic,IGP,IGP,1
23639,-5.94,-81.685,10,5,automatic,IGP,IGP,1
23641,-8.3,-74.9,125,5,automatic,IGP,IGP,1
23649,-8.53,-74.29,159,4.6,automatic,IGP,IGP,1
23649,-16.36,-69.35,139,4.5,automatic,IGP,IGP,0
23652,-9.1,-79.687,32,5,automatic,IGP,IGP,1
23653,-10.749,-75.057,151,4.9,automatic,IGP,IGP,1
23656,-13.1,-75.1,117,4.7,automatic,IGP,IGP,0
23661,-18.001,-71.671,37,5.3,automatic,IGP,IGP,0
23663,-13.57,-76.8,61,5,automatic,IGP,IGP,1
23667,-13.46,-72.6,44,4.9,automatic,IGP,IGP,1
23678,-13.5,-72.67,54,4.9,automatic,IGP,IGP,0
23683,-4.011,-76.742,105,6,automatic,IGP,IGP,1
23692,-13.68,-75.34,81,5.3,automatic,IGP,IGP,0
23693,-18.49,-70.42,91,5.1,automatic,IGP,IGP,0
23699,-10.5,-75.7,94,4.8,automatic,IGP,IGP,1
23699,-13.315,-75.265,94,4.8,automatic,IGP,IGP,0
23702,-4.87,-76.7,109,4.9,automatic,IGP,IGP,1
23709,-7.912,-71.367,640,5.6,automatic,IGP,IGP,1
23710,-4.12,-80.28,100,4.8,automatic,IGP,IGP,1
23717,-15.53,-70.6,168,5,automatic,IGP,IGP,1
23718,-6.613,-76.352,132,5.2,automatic,IGP,IGP,1
23726,-7.15,-76.77,33,5.2,automatic,IGP,IGP,1
23730,-16.46,-72.87,108,4.7,automatic,IGP,IGP,1
23733,-9.615,-71.265,605,5.5,automatic,IGP,IGP,1
23744,-15.91,-71.04,69,4.9,automatic,IGP,IGP,0
